"Subject" "Activity" "Domain" "Component" "Sensor" "Signal" "Stats" "Direction" "Value"
1 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.222
1 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.261
1 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
1 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
1 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.289
1 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.255
2 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
2 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
2 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
2 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
2 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.247
3 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
3 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.257
3 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
3 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
3 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.292
3 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.261
4 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.264
4 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
4 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
4 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
4 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
4 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.271
5 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
5 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
5 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.283
5 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
5 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.294
5 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.268
6 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.249
6 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
6 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
6 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.284
6 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
6 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.268
7 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.25
7 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.285
7 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.283
7 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
7 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
7 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.249
8 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.261
8 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.267
8 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
8 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.275
8 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.283
8 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.259
9 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.259
9 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.248
9 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.282
9 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
9 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.296
9 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.262
10 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
10 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.271
10 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
10 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
10 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.29
10 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.267
11 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
11 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
11 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
11 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
11 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.292
11 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.264
12 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.26
12 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.275
12 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
12 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
12 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.282
12 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
13 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
13 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
13 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
13 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
13 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.295
13 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.258
14 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.233
14 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
14 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
14 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
14 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.293
14 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.262
15 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.289
15 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
15 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
15 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
15 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
15 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.27
16 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
16 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.281
16 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.283
16 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.276
16 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.296
16 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.256
17 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.27
17 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
17 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
17 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.272
17 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.294
17 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.253
18 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.275
18 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
18 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
18 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
18 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.288
18 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.265
19 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
19 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
19 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
19 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
19 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.263
19 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.242
20 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.24
20 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
20 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
20 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
20 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.296
20 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.252
21 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.271
21 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
21 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
21 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
21 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.301
21 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.265
22 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
22 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
22 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
22 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.279
22 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.284
22 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.248
23 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.274
23 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
23 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.278
23 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
23 "WALKING_DOWNSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.29
23 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.25
24 "LAYING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
24 "SITTING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.273
24 "STANDING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.28
24 "WALKING" "Time" "Body" "Accelerometer" "" "MEAN" "X" 0.277
